EXTRACTION_DATE,CURRENCY,SELL_PRICE,SPOT_PRICE,BUY_PRICE
2019-04-25 18:58:06,USD,5468.53,5498.56,5524.87
2019-04-25 19:03:07,USD,5468.09,5499.445,5524.68
2019-04-25 20:08:22,USD,5457.78,5477.63,5514.2
2019-04-25 20:13:23,USD,5451.93,5479.345,5506.76
2019-04-25 20:18:24,USD,5449.72,5477.945,5505.59
2019-04-25 20:23:25,USD,5450.55,5485.56,5505.34
2019-04-26 03:20:18,USD,5195.06,5198.005,5248.1
2019-04-26 03:25:19,USD,5185.85,5208.37,5240.72
2019-04-26 03:30:24,USD,5178.94,5206.775,5233.05
2019-04-26 03:35:25,USD,5185.19,5222.55,5237.33
2019-04-26 03:40:26,USD,5182.98,5204.96,5235.17
2019-04-26 03:45:27,USD,5191.27,5199.405,5244.28
2019-04-25 03:08:35,USD,5389.69,5416.585,5445.35
2019-04-25 03:13:36,USD,5392.54,5415.965,5447.1
2019-04-25 03:18:37,USD,5388.93,5424.305,5443.1
2019-04-25 03:23:38,USD,5388.83,5434.02,5443.52
2019-04-25 03:28:39,USD,5412.79,5435.17,5467.2
2019-04-25 03:33:40,USD,5405.06,5432.145,5461.34
2019-04-25 03:38:43,USD,5405.56,5426.45,5461.15
2019-04-25 03:43:46,USD,5404.16,5422.785,5459.78
2019-04-25 03:48:47,USD,5406.1,5428.135,5461.74
2019-04-25 03:53:48,USD,5404.49,5432.595,5459.47
2019-04-25 03:58:50,USD,5405.43,5439.385,5459.76
2019-04-25 04:03:51,USD,5406.2,5442.695,5460.63
2019-04-25 05:09:07,USD,5399.72,5431.47,5454.08
2019-04-25 05:14:09,USD,5399.7,5423.005,5453.98
2019-04-25 05:19:12,USD,5391.31,5423.105,5445.5
2019-04-25 05:24:13,USD,5397.83,5425.135,5453.29
2019-04-25 05:29:15,USD,5395.98,5429.99,5450.23
2019-04-25 05:34:16,USD,5395.98,5421.765,5451.66
2019-04-25 05:39:17,USD,5390.75,5418.91,5456.66
2019-04-25 05:44:18,USD,5393.14,5421.525,5449.27
2019-04-25 05:49:20,USD,5389.37,5425.145,5444.76
2019-04-25 05:54:24,USD,5395.75,5427.105,5449.98
2019-04-25 05:59:27,USD,5395.4,5429.245,5451.09
2019-04-25 06:04:32,USD,5399.51,5428.005,5455.15
2019-04-25 08:10:16,USD,5403.24,5418.115,5458.77
2019-04-25 08:15:17,USD,5391.02,5418.115,5445.21
2019-04-25 08:20:18,USD,5391.0,5418.005,5445.21
2019-04-25 08:25:19,USD,5390.91,5423.325,5445.1
2019-04-25 08:30:22,USD,5390.91,5426.325,5445.1
2019-04-25 08:35:23,USD,5390.91,5427.855,5445.1
2019-04-25 08:40:24,USD,5402.92,5430.415,5451.35
2019-04-25 08:45:25,USD,5400.54,5428.445,5455.41
2019-04-25 08:50:27,USD,5401.3,5426.235,5455.59
2019-04-25 08:55:28,USD,5401.3,5426.195,5455.65
2019-04-25 09:00:29,USD,5399.1,5427.395,5453.37
2019-04-25 10:10:45,USD,5397.94,5434.03,5454.03
2019-04-25 10:15:46,USD,5407.56,5442.0,5464.24
2019-04-25 10:20:48,USD,5403.13,5438.055,5458.59
2019-04-25 10:25:49,USD,5415.8,5446.305,5470.25
2019-04-25 10:30:50,USD,5419.01,5441.675,5473.54
2019-04-25 10:40:53,USD,5414.46,5442.705,5468.89
2019-04-25 10:45:54,USD,5420.76,5450.255,5475.25
2019-04-25 10:50:56,USD,5423.0,5457.245,5477.51
2019-04-25 10:55:57,USD,5429.98,5455.01,5484.57
2019-04-25 11:00:58,USD,5431.4,5459.995,5485.99
2019-04-25 12:36:22,USD,5430.94,5465.21,5485.53
